"Symbol","trade_date","close_price","daily_return_pct","volume"
"TSLA","2025-04-09","272.20","21.14","219433400"
"AAPL","2025-04-09","198.17","15.64","184395900"
"NVDA","2025-04-09","114.31","15.61","612918300"
"META","2025-04-09","584.45","15.02","39216600"
"NVDA","2025-04-07","97.62","11.64","611041300"
"TSLA","2025-04-02","282.76","11.06","212787800"
"AMZN","2025-04-09","191.10","11.03","116804300"
"MSFT","2025-04-09","388.41","10.45","50199700"
"GOOGL","2025-04-09","158.27","9.89","70406200"
"TSLA","2023-01-06","113.06","9.77","220911100"
"TSLA","2023-01-27","177.90","9.52","306590600"
"NVDA","2024-08-05","100.41","9.11","552842400"
"TSLA","2023-02-14","209.25","9.02","216455700"
"TSLA","2025-04-25","284.95","8.89","167560700"
"AMZN","2025-04-07","175.26","8.19","109327100"
"NVDA","2023-08-14","43.72","8.07","690286000"
"TSLA","2025-06-09","308.58","7.91","140908900"
"TSLA","2025-03-24","278.39","7.87","169079900"
"TSLA","2023-08-29","257.18","7.80","134047600"
"TSLA","2025-01-03","410.44","7.59","95423300"
