"Symbol","trade_date","close_price","volume","daily_return_pct","ma_7day","ma_30day"
"META","2025-12-30","665.95","9187500","1.10","662.96","642.90"
"AAPL","2025-12-30","273.08","22139600","0.10","273.01","275.25"
"NVDA","2025-12-30","187.54","97687300","-0.37","186.97","181.88"
"GOOGL","2025-12-30","313.85","17380900","0.43","312.33","309.76"
"MSFT","2025-12-30","487.48","13944500","0.32","486.86","484.20"
"TSLA","2025-12-30","454.43","59238500","-1.44","475.74","446.60"
"AMZN","2025-12-30","232.53","21910500","0.57","231.06","228.24"
"AMZN","2025-12-29","232.07","19797900","0.06","230.24","228.31"
"MSFT","2025-12-29","487.10","10893400","0.46","486.36","484.93"
"AAPL","2025-12-29","273.76","23715200","0.39","272.88","275.22"
"TSLA","2025-12-29","459.64","66263000","-2.00","479.87","444.93"
"NVDA","2025-12-29","188.22","120006100","0.27","185.06","181.97"
"META","2025-12-29","658.69","8506500","0.10","662.74","641.00"
"GOOGL","2025-12-29","313.56","19621800","0.70","310.70","308.50"
"MSFT","2025-12-26","487.71","8842200","0.21","484.79","485.44"
"META","2025-12-26","663.29","7133800","-0.71","661.43","639.36"
"NVDA","2025-12-26","190.53","139740300","0.32","182.59","181.92"
"AMZN","2025-12-26","232.52","15994700","0.21","228.69","228.50"
"TSLA","2025-12-26","475.19","58780700","-2.07","480.96","443.01"
"GOOGL","2025-12-26","313.51","10899000","-0.31","308.30","307.33"
"AAPL","2025-12-26","273.40","21521800","-0.28","272.61","275.20"
"GOOGL","2025-12-24","314.09","10097400","-0.22","307.30","306.43"
"AAPL","2025-12-24","273.81","17910600","0.54","272.78","275.20"
"META","2025-12-24","667.55","5627500","0.76","660.55","637.53"
"MSFT","2025-12-24","488.02","5855900","0.48","483.17","486.18"
"NVDA","2025-12-24","188.61","65528500","0.36","180.76","182.03"
"TSLA","2025-12-24","485.40","41285400","-0.63","483.06","441.53"
"AMZN","2025-12-24","232.38","11420500","0.11","227.27","228.89"
"NVDA","2025-12-23","189.21","174873600","3.41","179.00","182.18"
"GOOGL","2025-12-23","314.35","25478700","1.52","306.47","305.67"
"AMZN","2025-12-23","232.14","29230200","1.34","225.86","229.44"
"TSLA","2025-12-23","485.56","58223600","-0.78","481.62","440.00"
"META","2025-12-23","664.94","8486800","0.74","657.69","636.17"
"MSFT","2025-12-23","486.85","14683600","0.39","481.29","486.84"
"AAPL","2025-12-23","272.36","29642000","0.56","272.82","275.25"
"MSFT","2025-12-22","484.92","16963000","-0.25","480.10","487.45"
"AMZN","2025-12-22","228.43","32261300","-0.08","225.01","229.98"
"NVDA","2025-12-22","183.69","129064400","-0.13","176.97","182.51"
"TSLA","2025-12-22","488.73","86916100","-0.23","477.82","438.66"
"META","2025-12-22","661.50","15659400","-0.02","654.66","635.05"
"GOOGL","2025-12-22","309.78","26429900","-0.03","305.74","304.85"
"AAPL","2025-12-22","270.97","36571800","-0.69","273.67","275.15"
"AAPL","2025-12-19","273.67","144632000","0.56","274.68","275.06"
"MSFT","2025-12-19","485.92","70836100","-0.30","479.89","487.81"
"TSLA","2025-12-19","481.20","103305400","-1.42","471.84","436.68"
"AMZN","2025-12-19","227.35","85544400","0.26","225.28","230.52"
"META","2025-12-19","658.77","49977100","-1.15","653.32","633.70"
"GOOGL","2025-12-19","307.16","59943200","1.80","306.12","303.81"
"NVDA","2025-12-19","180.99","324925900","2.45","176.58","182.66"
"AMZN","2025-12-18","226.76","50272400","0.47","225.91","231.04"
"AAPL","2025-12-18","272.19","51630700","-0.52","275.41","274.92"
"NVDA","2025-12-18","174.14","176096000","-0.22","176.97","182.89"
"GOOGL","2025-12-18","302.46","33518000","0.25","307.99","303.06"
"META","2025-12-18","664.45","20260300","1.13","652.01","632.36"
"MSFT","2025-12-18","483.98","28573500","1.21","478.84","488.16"
"TSLA","2025-12-18","483.37","95168400","1.09","467.59","435.51"
"GOOGL","2025-12-17","296.72","43930400","-3.67","310.07","302.45"
"AAPL","2025-12-17","271.84","50138700","-1.15","276.12","274.84"
"META","2025-12-17","649.50","15598500","-0.93","650.87","631.39"
"NVDA","2025-12-17","170.94","222775500","-2.93","178.52","183.60"
"AMZN","2025-12-17","221.27","44034400","-1.51","226.08","231.82"
"TSLA","2025-12-17","467.26","106490400","-4.29","462.13","434.80"
"MSFT","2025-12-17","476.12","24527200","-0.17","479.99","488.90"
"GOOGL","2025-12-16","306.57","30585000","0.53","312.50","301.80"
"AMZN","2025-12-16","222.56","39298900","-0.22","226.88","232.76"
"AAPL","2025-12-16","274.61","37648600","0.66","276.98","274.77"
"TSLA","2025-12-16","489.88","107608100","3.74","458.18","434.03"
"META","2025-12-16","657.15","14309100","2.12","653.26","630.63"
"MSFT","2025-12-16","476.39","20705600","0.95","482.12","490.14"
"NVDA","2025-12-16","177.72","148588100","0.83","180.61","184.52"
"NVDA","2025-12-15","176.29","164775600","-0.93","181.28","185.49"
"AMZN","2025-12-15","222.54","47286100","-2.36","227.88","233.80"
"MSFT","2025-12-15","474.82","23727700","-1.10","483.08","491.46"
"META","2025-12-15","647.51","15549100","0.28","655.51","629.97"
"GOOGL","2025-12-15","308.22","29151900","-1.00","314.57","301.04"
"TSLA","2025-12-15","475.31","114542200","1.25","453.19","433.31"
"AAPL","2025-12-15","274.11","50409100","-2.16","277.58","274.58"
"AMZN","2025-12-12","226.19","35639100","-1.60","228.81","234.53"
"TSLA","2025-12-12","458.96","95656700","2.43","450.23","432.69"
"META","2025-12-12","643.71","14016900","-0.86","657.43","629.98"
"NVDA","2025-12-12","175.02","204274900","-3.36","182.29","186.37"
"AAPL","2025-12-12","278.28","39532900","0.14","278.52","274.45"
"GOOGL","2025-12-12","309.29","35940200","-1.41","315.89","300.13"
"MSFT","2025-12-12","478.53","21248100","-0.27","483.94","492.86"
"AMZN","2025-12-11","230.28","28249600","-0.19","229.70","234.42"
"AAPL","2025-12-11","278.03","33248000","-0.38","279.36","274.21"
"NVDA","2025-12-11","180.93","182136600","0.36","182.94","187.29"
"TSLA","2025-12-11","446.89","55979500","-0.46","448.48","432.06"
"META","2025-12-11","652.18","13056700","1.46","656.77","630.72"
"MSFT","2025-12-11","483.47","24669200","1.44","483.83","494.40"
"GOOGL","2025-12-11","312.43","42353700","-2.39","317.33","299.20"
"NVDA","2025-12-10","183.78","162785400","-0.64","183.02","188.16"
"AMZN","2025-12-10","231.78","38790700","1.30","230.29","234.42"
"AAPL","2025-12-10","278.78","33038300","0.37","280.52","273.92"
"META","2025-12-10","649.60","16910900","0.03","655.97","634.02"
"GOOGL","2025-12-10","320.21","33428900","1.39","317.79","297.93"
"MSFT","2025-12-10","478.56","35756200","-1.13","484.76","496.31"
"TSLA","2025-12-10","451.45","63257500","1.21","445.96","432.55"
"AAPL","2025-12-09","277.18","32193300","-0.35","281.14","273.59"
"META","2025-12-09","656.42","12997100","-1.03","654.65","637.39"
"NVDA","2025-12-09","184.97","144719700","-0.32","182.46","188.74"
"GOOGL","2025-12-09","317.08","30194000","1.51","317.00","296.16"
"TSLA","2025-12-09","445.17","62367400","1.74","442.91","432.85"
"MSFT","2025-12-09","492.02","14696100","0.60","485.93","498.39"
"AMZN","2025-12-09","227.92","25841700","0.48","230.59","234.33"
"META","2025-12-08","666.26","13161000","-0.38","653.36","640.52"
"MSFT","2025-12-08","491.02","21965900","1.26","485.93","499.67"
"AAPL","2025-12-08","277.89","38211800","-0.09","281.38","273.30"
"TSLA","2025-12-08","439.58","69165800","-1.76","440.77","433.09"
"AMZN","2025-12-08","226.89","35019200","-1.18","231.35","234.30"
"NVDA","2025-12-08","185.55","204378100","1.59","181.32","188.96"
"GOOGL","2025-12-08","313.72","33909400","-1.98","317.41","294.56"
"AAPL","2025-12-05","278.78","47265800","-0.63","281.33","272.79"
"TSLA","2025-12-05","455.00","56427500","0.43","438.91","432.89"
"NVDA","2025-12-05","182.41","143971100","-0.80","180.57","188.98"
"MSFT","2025-12-05","483.16","22608700","0.13","485.14","500.73"
"GOOGL","2025-12-05","321.06","28851700","0.56","318.27","292.77"
"AMZN","2025-12-05","229.53","33117400","-0.34","231.67","234.21"
"META","2025-12-05","672.87","21207900","1.42","648.62","642.90"
"GOOGL","2025-12-04","317.41","31240900","-1.43","318.58","290.49"
"NVDA","2025-12-04","183.38","167364900","0.97","179.91","188.97"
"MSFT","2025-12-04","480.84","22318200","0.23","484.26","501.94"
"TSLA","2025-12-04","454.53","71906500","1.02","433.83","432.69"
"AAPL","2025-12-04","280.70","43989100","-1.20","281.07","272.14"
"META","2025-12-04","660.99","29874600","-2.14","643.31","644.92"
"AMZN","2025-12-04","229.11","45683200","-1.57","231.69","233.93"
"MSFT","2025-12-03","477.73","34615100","0.30","483.28","503.23"
"AAPL","2025-12-03","284.15","43538700","-0.72","280.39","271.39"
"NVDA","2025-12-03","179.58","165138000","-0.82","179.79","188.87"
"AMZN","2025-12-03","232.38","35495100","-0.42","231.29","233.56"
"META","2025-12-03","639.08","11134300","-0.75","636.39","647.31"
"TSLA","2025-12-03","446.74","87483000","3.39","428.58","432.18"
"GOOGL","2025-12-03","319.42","41838300","1.18","318.72","288.30"
"AMZN","2025-12-02","234.42","45785400","-0.25","229.62","233.21"
"GOOGL","2025-12-02","315.60","35854700","-0.29","315.86","285.99"
"NVDA","2025-12-02","181.45","182632200","-0.17","179.69","188.92"
"META","2025-12-02","646.57","11640900","0.74","629.92","650.43"
"AAPL","2025-12-02","286.19","53669500","1.13","278.58","270.67"
"TSLA","2025-12-02","429.24","69336600","-0.36","420.63","432.04"
"MSFT","2025-12-02","490.00","19562700","0.67","482.48","504.53"
"NVDA","2025-12-01","179.91","188131000","2.95","179.57","188.96"
"META","2025-12-01","640.35","13029900","0.21","621.65","653.26"
"AMZN","2025-12-01","233.88","42904000","0.28","227.15","232.62"
"GOOGL","2025-12-01","314.68","41183000","-0.88","312.10","284.02"
"TSLA","2025-12-01","430.14","57463600","1.13","415.77","432.64"
"MSFT","2025-12-01","486.74","23964000","-0.35","480.83","505.39"
"AAPL","2025-12-01","283.10","46587700","1.83","275.73","269.86"
"NVDA","2025-11-28","176.99","121332800","-1.12","180.51","189.07"
"AMZN","2025-11-28","233.22","20292300","0.86","225.55","231.92"
"AAPL","2025-11-28","278.85","20135600","0.57","273.66","268.83"
"META","2025-11-28","647.42","11033200","1.87","614.43","655.80"
"MSFT","2025-11-28","492.01","14386700","0.90","480.75","506.25"
"GOOGL","2025-11-28","319.97","26018600","-0.99","308.95","281.97"
"TSLA","2025-11-28","430.17","36252900","0.84","412.03","432.95"
"GOOGL","2025-11-26","319.74","51373400","-0.23","303.82","279.68"
"MSFT","2025-11-26","485.50","25709100","-0.17","480.87","506.87"
"AMZN","2025-11-26","229.16","38497900","-0.68","224.03","231.30"
"AAPL","2025-11-26","277.55","33431400","0.21","272.03","267.77"
"META","2025-11-26","633.09","15209500","-0.64","607.26","657.93"
"NVDA","2025-11-26","180.25","183852000","-0.75","181.14","189.23"
"TSLA","2025-11-26","426.58","63463000","0.62","407.90","432.90"
"GOOGL","2025-11-25","323.23","88632100","-0.85","298.84","277.38"
"TSLA","2025-11-25","419.40","71915600","1.20","405.38","433.19"
"NVDA","2025-11-25","177.81","320600300","1.66","182.04","189.21"
"AAPL","2025-11-25","276.97","46914200","0.62","270.58","266.82"
"MSFT","2025-11-25","476.99","28019800","0.62","483.88","507.77"
"AMZN","2025-11-25","229.67","39379300","1.45","224.56","230.84"
"META","2025-11-25","635.70","25213000","1.96","602.75","660.73"
"TSLA","2025-11-24","417.78","96806400","3.88","403.23","433.52"
"META","2025-11-24","612.55","23554900","2.39","598.93","663.14"
"GOOGL","2025-11-24","318.37","85165100","2.39","292.12","274.79"
"AAPL","2025-11-24","275.92","65585800","1.85","269.93","265.84"
"NVDA","2025-11-24","182.54","256618300","1.70","183.81","189.29"
"AMZN","2025-11-24","226.28","54318400","1.67","225.27","230.40"
"MSFT","2025-11-24","474.00","34421000","-0.21","488.49","508.96"
"AAPL","2025-11-21","271.49","59030800","2.08","269.51","264.89"
"AMZN","2025-11-21","220.69","68490500","2.01","226.89","230.19"
"META","2025-11-21","593.77","21052600","0.98","598.48","666.56"
"TSLA","2025-11-21","391.09","100460600","-2.79","400.97","434.12"
"NVDA","2025-11-21","178.87","346926200","-1.30","184.42","189.48"
"GOOGL","2025-11-21","299.46","74137700","1.09","286.41","272.31"
"MSFT","2025-11-21","472.12","31769200","-1.33","492.54","510.26"
"AAPL","2025-11-20","266.25","45823600","-1.69","269.79","264.01"
"GOOGL","2025-11-20","289.26","62025200","-4.96","284.56","270.21"
"TSLA","2025-11-20","395.23","113548800","-4.68","406.62","434.87"
"META","2025-11-20","588.67","20603000","-2.38","600.58","670.26"
"AMZN","2025-11-20","217.14","50309000","-4.36","230.25","230.05"
"NVDA","2025-11-20","180.63","343504800","-7.81","186.55","189.62"
"MSFT","2025-11-20","478.43","26802500","-2.90","497.97","511.53"
"NVDA","2025-11-19","186.51","247246400","0.94","188.34","190.02"
"AAPL","2025-11-19","268.56","40424500","1.14","271.08","263.60"
"META","2025-11-19","589.84","24744700","-0.57","606.00","675.07"
"MSFT","2025-11-19","486.21","23245300","-0.61","502.16","512.96"
"GOOGL","2025-11-19","292.62","68198900","1.97","284.83","268.61"
"TSLA","2025-11-19","403.99","72047700","-0.54","412.96","436.21"
"AMZN","2025-11-19","222.69","58335600","-0.47","234.81","230.40"
"MSFT","2025-11-18","492.87","33815100","-0.32","504.85","514.22"
"TSLA","2025-11-18","401.25","80688600","-1.02","418.85","437.37"
"NVDA","2025-11-18","181.35","213598900","-1.10","190.13","190.11"
"META","2025-11-18","597.20","25500600","1.03","611.91","679.31"
"GOOGL","2025-11-18","284.09","49158700","-1.26","284.44","267.00"
"AAPL","2025-11-18","267.44","45677300","-0.94","271.20","263.24"
"AMZN","2025-11-18","222.55","60608400","-2.43","238.48","230.49"
"NVDA","2025-11-17","186.59","173628900","0.34","191.10","190.23"
"AAPL","2025-11-17","267.46","45018300","-0.51","271.31","262.86"
"TSLA","2025-11-17","408.92","102214300","2.55","422.89","438.43"
"AMZN","2025-11-17","232.87","59919000","-0.16","241.61","230.46"
"META","2025-11-17","601.52","16501300","-1.15","615.34","683.16"
"GOOGL","2025-11-17","284.83","52670200","-0.27","283.66","265.72"
"MSFT","2025-11-17","506.54","19092800","-0.19","505.28","515.22"
"META","2025-11-14","608.96","20724100","1.27","617.76","686.94"
"MSFT","2025-11-14","509.23","28505700","2.40","503.80","515.92"
"AMZN","2025-11-14","234.69","38956700","-0.16","243.06","230.06"
"GOOGL","2025-11-14","276.23","31647200","1.84","283.63","264.57"
"AAPL","2025-11-14","272.41","47431300","0.50","271.60","262.50"
"TSLA","2025-11-14","404.35","105506700","4.67","428.17","439.91"
"NVDA","2025-11-14","190.16","186591900","4.00","191.31","190.19"
"AMZN","2025-11-13","237.58","41401700","-2.25","245.28","229.56"
"META","2025-11-13","609.39","20973800","-0.52","621.54","690.31"
"GOOGL","2025-11-13","278.39","29494000","-1.34","284.75","263.53"
"AAPL","2025-11-13","272.95","49602800","-0.42","271.24","262.01"
"NVDA","2025-11-13","186.85","207423100","-2.19","192.03","190.11"
"TSLA","2025-11-13","401.99","118948000","-5.00","436.42","440.76"
"MSFT","2025-11-13","502.35","25273100","-1.38","503.37","516.16"
"TSLA","2025-11-12","430.60","58513500","-2.61","442.46","441.89"
"NVDA","2025-11-12","193.79","154935300","-0.98","193.72","190.18"
"META","2025-11-12","608.51","24493300","-3.04","624.03","694.21"
"AAPL","2025-11-12","273.47","48398000","-0.56","270.79","261.47"
"MSFT","2025-11-12","510.19","26574900","0.35","504.94","516.57"
"GOOGL","2025-11-12","286.52","24829900","-1.70","284.61","262.44"
"AMZN","2025-11-12","244.20","31190100","-2.41","246.95","229.05"
"META","2025-11-11","626.57","13302200","-0.15","628.13","697.82"
"AMZN","2025-11-11","249.10","23564100","0.28","248.35","228.26"
"GOOGL","2025-11-11","291.12","19842100","1.24","284.18","261.05"
"AAPL","2025-11-11","275.25","46208300","2.02","270.12","260.86"
"NVDA","2025-11-11","193.15","176483300","-1.02","195.59","189.96"
"TSLA","2025-11-11","439.62","60533200","0.05","447.85","442.85"
"MSFT","2025-11-11","507.73","17980000","0.77","505.78","516.86"
"GOOGL","2025-11-10","289.91","29557300","2.00","282.73","259.44"
"AAPL","2025-11-10","269.43","41312400","0.17","269.39","260.17"
"AMZN","2025-11-10","248.40","36476500","0.02","247.66","227.28"
"NVDA","2025-11-10","199.04","198897100","2.02","196.93","189.74"
"MSFT","2025-11-10","505.05","26101500","1.19","507.08","517.17"
"META","2025-11-10","631.25","19245000","0.11","631.16","701.39"
"TSLA","2025-11-10","445.23","76515900","1.28","450.27","443.02"
"TSLA","2025-11-07","429.52","103471500","-1.92","449.54","442.95"
"GOOGL","2025-11-07","278.65","34479600","-1.55","281.50","257.91"
"NVDA","2025-11-07","188.14","264942300","1.76","197.47","189.17"
"MSFT","2025-11-07","495.89","24019800","-0.03","509.90","517.45"
"META","2025-11-07","621.20","29946800","0.85","636.12","705.11"
