"Symbol","year","month","month_name","avg_monthly_price","total_monthly_volume","trading_days"
"AAPL","2023","1","January  ","133.76","1443652500","20"
"AAPL","2023","2","February ","148.87","1307198900","19"
"AAPL","2023","3","March    ","152.90","1520266600","23"
"AAPL","2023","4","April    ","162.84","969776400","19"
"AAPL","2023","5","May      ","170.46","1275364700","22"
"AAPL","2023","6","June     ","182.07","1297383300","21"
"AAPL","2023","7","July     ","190.10","996114000","20"
"AAPL","2023","8","August   ","179.07","1322657800","23"
"AAPL","2023","9","September","175.12","1337823000","20"
"AAPL","2023","10","October  ","172.81","1172816900","22"
"AAPL","2023","11","November ","184.06","1099651600","21"
"AAPL","2023","12","December ","192.49","1063181200","20"
"AAPL","2024","1","January  ","185.97","1187490800","21"
"AAPL","2024","2","February ","183.21","1161553500","20"
"AAPL","2024","3","March    ","171.30","1433151800","20"
"AAPL","2024","4","April    ","168.23","1246144100","22"
"AAPL","2024","5","May      ","184.95","1336511300","22"
"AAPL","2024","6","June     ","204.87","1717952100","19"
"AAPL","2024","7","July     ","223.08","1153099800","22"
"AAPL","2024","8","August   ","220.32","1122667000","22"
"AAPL","2024","9","September","222.51","1232097700","20"
"AAPL","2024","10","October  ","228.77","930736000","23"
"AAPL","2024","11","November ","226.72","891588300","20"
"AAPL","2024","12","December ","248.20","977916100","21"
"AAPL","2025","1","January  ","233.53","1200176400","20"
"AAPL","2025","2","February ","237.63","862272300","19"
"AAPL","2025","3","March    ","221.95","1115239500","21"
"AAPL","2025","4","April    ","200.50","1607318600","21"
"AAPL","2025","5","May      ","203.43","1195728200","21"
"AAPL","2025","6","June     ","200.24","1100409300","20"
"AAPL","2025","7","July     ","210.84","1079935600","22"
"AAPL","2025","8","August   ","224.36","1218079100","21"
"AAPL","2025","9","September","242.25","1265536400","21"
"AAPL","2025","10","October  ","258.05","1097142200","23"
"AAPL","2025","11","November ","271.59","877578200","19"
"AAPL","2025","12","December ","276.52","897235200","21"
